id;type;cat_title;URL;keyword;keywords_cons;keywords_pro
12;food;Творог нежирный;https://online.globus.ru/search/?section_id=611&q=%D1%82%D0%B2%D0%BE%D1%80%D0%BE%D0%B3&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64&searchFilter_1414_3745925886=Y&searchFilter_1414_1964963658=Y&searchFilter_1414_35243996=Y&searchFilter_1414_2601555558=Y&searchFilter_1414_3960973040=Y&set_filter=Y;творог;масса творожная|творожная масса|творожный продукт|сырок|десерт|творожок;
12;food;Творог нежирный;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/tvorog-syrki?attr%5B1667%5D%5Bfrom%5D=0&attr%5B1667%5D%5Bto%5D=5.2;творог;масса творожная|творожная масса|творожный продукт|сырок|десерт|творожок;
12;food;Творог нежирный;https://www.okeydostavka.ru/msk/molochnye-produkty-syry-iaitso-16100-20/molochnye-produkty-16101-20/tvorozhnye-izdeliia-16106-20;творог;масса творожная|творожная масса|творожный продукт|сырок|десерт|творожок;
12;food;Творог нежирный;https://www.utkonos.ru/cat/14 https://www.utkonos.ru/cat/4261-2207-977284;творог;масса творожная|творожная масса|творожный продукт|сырок|десерт|творожок;
12;food;Творог нежирный;1106.0;творог;масса творожная|творожная масса|творожный продукт|сырок|десерт|творожок;
13;food;Сыры сычужные твердые и мягкие;https://online.globus.ru/search/?section_id=613&q=%D1%81%D1%8B%D1%80+&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64 https://online.globus.ru/search/?section_id=614&q=%D1%81%D1%8B%D1%80+&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64;сыр;;российск|голландск|швейцарск|адыгейск
13;food;Сыры сычужные твердые и мягкие;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/syry?attr%5B1613%5D%5B%5D=myagkiy&attr%5B1613%5D%5B%5D=polutverdyy&attr%5B1613%5D%5B%5D=tverdyy;сыр;;российск|голландск|швейцарск|адыгейск
13;food;Сыры сычужные твердые и мягкие;https://www.okeydostavka.ru/msk/molochnye-produkty-syry-iaitso-16100-20/syry-16103-20/tverdye-i-polutverdye-syry-16114-20;сыр;;российск|голландск|швейцарск|адыгейск
13;food;Сыры сычужные твердые и мягкие;https://www.utkonos.ru/cat/16-15-189 https://www.utkonos.ru/cat/16-15-191;сыр;;российск|голландск|швейцарск|адыгейск
13;food;Сыры сычужные твердые и мягкие;1201.0;сыр;;российск|голландск|швейцарск|адыгейск
14;food;Яйца куриные;https://online.globus.ru/search/?section_id=629&q=%D1%8F%D0%B9%D1%86%D0%B0&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&searchFilter_573_2857199108=Y&set_filter=Y&count=64;яйц[ао];перепел;
14;food;Яйца куриные;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/yaytso?attr%5B1936%5D%5B%5D=yaytso-kurinoe;яйц[ао];перепел;
14;food;Яйца куриные;https://www.okeydostavka.ru/msk/molochnye-produkty-syry-iaitso-16100-20/iaitso-16104-20;яйц[ао];перепел;
14;food;Яйца куриные;https://www.utkonos.ru/cat/108-152-934 https://www.utkonos.ru/cat/108-152-930 https://www.utkonos.ru/cat/108-152-929 https://www.utkonos.ru/cat/108-152-933;яйц[ао];перепел;
14;food;Яйца куриные;1501.0;яйц[ао];перепел;
15;food;Сахар-песок;https://online.globus.ru/search/?q=%D1%81%D0%B0%D1%85%D0%B0%D1%80+%D0%BF%D0%B5%D1%81%D0%BE%D0%BA&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64;сахар[\s*\-]*(песок){0,1};тростник|кусков|рафинад|с?прессов|сахарозаменит;
15;food;Сахар-песок;https://www.perekrestok.ru/catalog/kofe-chay-sahar/sahar?attr%5B1605%5D%5B%5D=pesok&attr%5B2151%5D%5B%5D=belyy;сахар[\s*\-]*(песок){0,1};тростник|кусков|рафинад|с?прессов|сахарозаменит;
15;food;Сахар-песок;https://www.okeydostavka.ru/msk/bakaleia-i-konservatsiia-15063-20/sakhar-i-sol--24573-20#facet:-700000000000002565110571072109310721088;сахар[\s*\-]*(песок){0,1};тростник|кусков|рафинад|с?прессов|сахарозаменит;
